,DATE,AREA,DAILY_INCIDENT_COUNT
163,2024-02-13,Potchefstroom,1.0
164,2024-02-14,Caledon,1.0
165,2024-02-14,Knoppieslaagte,1.0
166,2024-02-14,Klipriver And Sybrand,1.0
167,2024-02-14,Sentrarand,1.0
168,2024-02-14,Fochville,1.0
169,2024-02-15,Sentrarand,4.0
170,2024-02-15,Sentrarand,4.0
171,2024-02-15,Sentrarand,4.0
172,2024-02-15,Sentrarand,4.0
173,2024-02-16,Springdale,1.0
174,2025-02-16,Vereeniging,1.0
175,2024-02-16,Sentrarand,1.0
176,2024-02-18,Vereeniging,1.0
177,2024-02-20,Vereeniging,1.0
178,2024-02-21,Natal Spruit,2.0
179,2024-02-21,Natal Spruit,2.0
180,2024-02-22,Vanderbijlpark,1.0
181,2024-02-21,Fochville And Losberg,1.0
182,2024-02-21,Kleinfontei And Donkerhoek,1.0
183,2024-02-22,Rooikraal,1.0
